deed_no_ref,province,district,ltt,lgt,ltt_poly,lgt_poly,error,deal_no,land_no,sheet,area,rai,ngan,talangwa,est_price,parcel_ltt,parcel_lgt,land_office,office_ltt,office_lgt,web_district,found1st_wrong,found_land,parcel_found,parcel_diff_found,district_found,mini_distance_district,mini_distance_index
61849,กรุงเทพมหานคร,ราษฎร์บูรณะ,13.665516,100.499072,"[13.6657315, 13.6652871, 13.6655991]","[100.498743, 100.4994463, 100.4986942]",,14169,316,5036 II 6210-09 (1000),0 ไร่ 3 งาน 64.7 ตารางวา,0.0,3.0,64.7,6000.0,13.6655162,100.49907209,สำนักงานที่ดินกรุงเทพมหานคร สาขาธนบุรี,13.71434742,100.5044301,ราษฎร์บูรณะ,,,,,,,
18645,กรุงเทพมหานคร,ลาดกระบัง,13.844767,100.53752,"[13.8628331, 13.8627201, 13.8627159, 13.8628297]","[100.6970891, 100.6970925, 100.6970401, 100.697034]",,7814,1081,5136 IV 8232-12 (1000),0 ไร่ 0 งาน 19.5 ตารางวา,0.0,0.0,19.5,17500.0,13.86277911,100.69705311,สำนักงานที่ดินกรุงเทพมหานคร สาขามีนบุรี,13.81444135,100.7332524,10-มีนบุรี,1.0,6.0,"[(13.75714061, 100.7979147), (13.86277911, 100.69705311), (13.90770621, 100.7639535), (13.82671211, 100.84653587), (13.72249928, 100.67760494), (13.76304748, 100.69637042)]","[(-0.08762638999999872, 0.2603947000000062), (0.018012110000000803, 0.15953310999999815), (0.06293921000000147, 0.22643349999999884), (-0.01805488999999838, 0.3090158699999961), (-0.12226771999999997, 0.14008493999999416), (-0.08171952000000005, 0.15885041999999316)]","['11-ลาดกระบัง', '10-มีนบุรี', 'ม2-มีนบุรี(เมือง)', '03-หนองจอก', '32-ประเวศ', '44-สะพานสูง']",10-มีนบุรี,1.0
